HS (PC-TAS) code,Product discription (HS),Product description (SITC),Rootproduct (HS),Product fraction,Value fraction,Country,World Average,,,
,,,,,,Production system >>,Grazing,Mixed,Industrial,Weighted average
410110,"Bovine skins, whole, raw",Whole bovin.hide<8kg dry,010210,0.06,0.05,Green,8362,6681,3795,6366
,,,,,,Blue,184,228,292,242
,,,,,,Grey,96,181,305,199
410121,"Bovine hides, whole, fresh or wet-salted","Bovine hides,skins,fresh",410130,0.80,1.00,Green,10453,8351,4744,7958
,,,,,,Blue,242,297,378,315
,,,,,,Grey,120,226,382,249
410122,"Butts and bends, bovine, fresh or wet-salted",,410130,0.80,1.00,Green,10453,8351,4744,7958
,,,,,,Blue,242,297,378,315
,,,,,,Grey,120,226,382,249
410129,"Hide sections, bovine, nes, fresh or wet-salted",,410130,0.80,1.00,Green,10453,8351,4744,7958
,,,,,,Blue,242,297,378,315
,,,,,,Grey,120,226,382,249
410130,"Bovine hides, raw, nes","Bovine hides,skins,other",010210,0.06,0.05,Green,8362,6681,3795,6366
,,,,,,Blue,184,228,292,242
,,,,,,Grey,96,181,305,199
410140,"Equine hides and skins, raw","Equine hides,skins",010210,0.06,0.11,Green,17248,13780,7828,13132
,,,,,,Blue,379,470,603,499
,,,,,,Grey,198,374,630,411
410210,"Sheep or lamb skins, raw, with wool on, nes","Sheep skin,excpt.furskin",010410,0.08,0.06,Green,5174,2535,1471,3107
,,,,,,Blue,129,149,248,158
,,,,,,Grey,7,22,69,24
410221,"Sheep or lamb skins, pickled, without wool on",Sheep skin without wool,410210,0.95,1.00,Green,5447,2668,1549,3270
,,,,,,Blue,141,162,266,171
,,,,,,Grey,7,23,73,25
410229,"Sheep or lamb skins, raw, o/t pickled, without wool on",,410210,0.95,1.00,Green,5447,2668,1549,3270
,,,,,,Blue,141,162,266,171
,,,,,,Grey,7,23,73,25
410310,"Goat or kid hides and skins, raw, nes","Goat,kid skin,ex.furskin",010420,0.08,0.13,Green,8361,4268,2144,4611
,,,,,,Blue,257,284,364,294
,,,,,,Grey,0,3,16,5
410410,"Bovine skin leather, whole",Whole bovine skin leathr,410110,0.40,1.00,Green,20905,16701,9487,15916
,,,,,,Blue,535,644,805,679
,,,,,,Grey,240,453,763,498
410421,"Bovine leather, vegetable pre-tanned, nes","Oth.bov.,eqn.lthr,tanned",410121,0.50,1.00,Green,20905,16701,9487,15916
,,,,,,Blue,525,634,795,669
,,,,,,Grey,240,453,763,498
410422,"Bovine leather, otherwise pre-tanned, nes",,410121,0.50,1.00,Green,20905,16701,9487,15916
,,,,,,Blue,505,614,775,649
,,,,,,Grey,240,453,763,498
410429,"Bovine and equine leather, tanned or retanned, nes",,410121,0.50,1.00,Green,20905,16701,9487,15916
,,,,,,Blue,505,614,775,649
,,,,,,Grey,240,453,763,498
410431,"Bovine and equine leather, full/split grains, nes","Oth.bov.,eqn.lthr,preprd",410121,0.50,1.00,Green,20905,16701,9487,15916
,,,,,,Blue,545,654,815,689
,,,,,,Grey,240,453,763,498
410439,"Bovine and equine leather, nes",,410140,0.40,1.00,Green,43121,34450,19570,32829
,,,,,,Blue,1024,1250,1581,1322
,,,,,,Grey,496,934,1574,1027
410511,"Sheep or lamb skin leather, vegetable pre-tanned","Sheepskin leather,tanned",410221,0.90,1.00,Green,6052,2964,1721,3634
,,,,,,Blue,179,203,318,212
,,,,,,Grey,8,26,81,28
410512,"Sheep or lamb skin leather, otherwise pre-tanned",,410221,0.90,1.00,Green,6052,2964,1721,3634
,,,,,,Blue,179,203,318,212
,,,,,,Grey,8,26,81,28
410519,"Sheep or lamb skin leather, tanned or retanned, nes",,410221,0.90,1.00,Green,6052,2964,1721,3634
,,,,,,Blue,179,203,318,212
,,,,,,Grey,8,26,81,28
410520,"Sheep or lamb skin leather, nes","Sheepskin leather,preprd",410221,0.90,1.00,Green,6052,2964,1721,3634
,,,,,,Blue,179,203,318,212
,,,,,,Grey,8,26,81,28
410611,"Goat or kid skin leather, vegetable pre-tanned","Goatskin leather,tanned",410310,0.90,1.00,Green,9290,4742,2382,5123
,,,,,,Blue,308,338,427,349
,,,,,,Grey,0,4,18,6
410612,"Goat or kid skin leather, otherwise pre-tanned",,410310,0.90,1.00,Green,9290,4742,2382,5123
,,,,,,Blue,308,338,427,349
,,,,,,Grey,0,4,18,6
410619,"Goat or kid skin leather, tanned or retanned, nes",,410310,0.90,1.00,Green,9290,4742,2382,5123
,,,,,,Blue,308,338,427,349
,,,,,,Grey,0,4,18,6
410620,"Goat or kid skin leather, nes","Goatskin leather,preprd",410310,0.90,1.00,Green,9290,4742,2382,5123
,,,,,,Blue,308,338,427,349
,,,,,,Grey,0,4,18,6
410710,"Swine leather, nes",Leather of swine,010310,0.02,0.10,Green,24391,16238,12535,15278
,,,,,,Blue,1329,1314,1467,1387
,,,,,,Grey,2013,1813,2128,1936
