Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Global average (Green),Global average (Blue),Global average (Grey),Total Global average
071340,"Lentils dried, shelled, whether or not skinned or split",Lentils,071340,1.00,1.00,4324.0,489.0,1060.0,5873.0
071390ad,Bambara beans,Bambara beans,071390ad,1.00,1.00,3162.0,71.0,34.0,3267.0
071390ac,Vetches,Vetches,071390ac,1.00,1.00,2031.0,109.0,213.0,2353.0
071390ab,Lupins,Lupins,071390ab,1.00,1.00,1350.0,21.0,506.0,1877.0
071331,"Urd,mung,black/green gram beans drid shelld,whether/not skinnd/split",,071390ae,1.00,1.00,2217.0,250.0,650.0,3117.0
071390ae,Pulses nes,Pulses nes,071390ae,1.00,1.00,2217.0,250.0,650.0,3117.0
080121,"Brazil nuts, with shell","Brazil nuts, with shell",080121,1.00,1.00,12000.0,1500.0,500.0,1400.0
080131_a,Cashew nuts,Cashew nuts,080131_a,1.00,1.00,12853.0,921.0,444.0,14218.0
080240,"Chestnuts, fresh or dried, whether or not shelled or peeled",Chestnuts,080240,1.00,1.00,2432.0,174.0,144.0,2750.0
080211,Almonds in shell fresh or dried,"Almonds, with shell",080211,1.00,1.00,4632.0,1908.0,1507.0,8047.0
080212,"Almonds,fresh or dried,shelled or peeled",,080211,0.50,1.00,9264.0,3816.0,3015.0,16095.0
080231,"Walnuts in shell, fresh or dried","Walnuts, with shell",080231,1.00,1.00,2805.0,1299.0,814.0,4918.0
080232,"Walnuts, fresh or dried, shelled or peeled",,080231,0.53,1.00,5293.0,2451.0,1536.0,9280.0
080250,"Pistachios, fresh or dried, whether or not shelled or peeled",Pistachios,080250,1.00,1.00,3095.0,7602.0,666.0,11363.0
080290aa,Kolanuts,Kolanuts,080290aa,1.00,1.00,23345.0,26.0,19.0,23390.0
080221,Hazelnuts or filberts in shell fresh or dried,"Hazelnuts, with shell",080221,1.00,1.00,3813.0,1090.0,354.0,5257.0
080222,"Hazelnuts or filberts, fresh or dried, shelled or peeled",,080221,0.50,1.00,7627.0,2180.0,709.0,10516.0
080290ab,Arecanuts,Arecanuts,080290ab,1.00,1.00,10621.0,139.0,406.0,11166.0
080290,"Nuts edible, fresh or dried, whether or not shelled or peeled, nes","Nuts, nes",080290,1.00,1.00,8379.0,1156.0,891.0,10426.0
120100,Soya beans,Soybeans,120100,1.00,1.00,2037.0,70.0,37.0,2144.0
120100a,Soya sauce,,120100,3.50,1.00,582.0,20.0,11.0,613.0
120100b,Soya curd (tofu),,120100,3.75,1.00,543.0,19.0,10.0,572.0
120100d,soybean ingredient into the soymilk,,120100,0.57,1.00,3574.0,123.0,65.0,3762.0
120100e,Soy burger,,120100,0.57,1.00,3574.0,123.0,65.0,3762.0
120810,Soya bean flour and meals,,120100,0.85,1.00,2397.0,83.0,44.0,2524.0
150710,"Soya-bean oil crude, whether or not degummed",,120100,0.18,0.34,3900.0,135.0,71.0,4106.0
150790,"Soya-bean oil and its fractions, refined but not chemically modified",,150710,0.98,1.00,3980.0,137.0,73.0,4190.0
230400,"Soya-bean oil-cake&oth solid residues,whether or not ground or pellet",,120100,0.79,0.66,1690.0,58.0,31.0,1779.0
120210,Ground-nuts in shell not roasted or otherwise cooked,Groundnuts in shell,120210,1.00,1.00,2469.0,150.0,163.0,2782.0
120220,"Ground-nuts shelld,whether or not broken,not roastd or otherwise cookd",,120210,0.70,1.00,3526.0,214.0,234.0,3974.0
150810,"Ground-nut oil, crude",,120220,0.43,0.80,6547.0,397.0,434.0,7378.0
150890,Ground-nut oil and its fractions refined but not chemically modified,,150810,0.98,1.00,6681.0,405.0,442.0,7528.0
230500,"Ground-nut oil-cake&oth solid residues,whether or not ground or pellet",,120220,0.54,0.20,1317.0,80.0,87.0,1484.0
080119,Coconuts,Coconuts,080119,1.00,1.00,2669.0,2.0,16.0,2687.0
120300,Copra,,120300a,0.60,1.00,2079.0,1.0,12.0,2092.0
120300a,Coconut (husked),,080119,1.00,0.47,1248.0,1.0,7.0,1256.0
151311,Coconut (copra) oil crude,,120300,0.36,0.76,4372.0,3.0,26.0,4401.0
151319,Coconut (copra) oil&its fractions refined but not chemically modified,,151311,0.98,1.00,4461.0,3.0,27.0,4491.0
230650,"Coconut/copra oil-cake&oth solid residues,whether/not ground/pellet",,120300,0.61,0.24,829.0,1.0,5.0,835.0
530511,"Coconut (coir) fibre, raw",,530519,0.75,1.00,3245.0,2.0,19.0,3266.0
530519,"Coconut (coir) fibre,processd nt spun;tow,noils&waste of coconut fib",,120300a,0.50,0.46,2434.0,2.0,15.0,2451.0
120710,"Palm nuts and kernels, whether or not broken",,120710ab,0.06,0.16,2762.0,1.0,105.0,2868.0
120710ab,Oil palm fruit,Oil palm,120710ab,1.00,1.00,1057.0,0.0,40.0,1097.0
151110,"Palm oil, crude",,120710ab,0.19,0.84,4691.0,1.0,179.0,4871.0
151190,Palm oil and its fractions refined but not chemically modified,,151110,0.98,1.00,4787.0,1.0,182.0,4970.0
151321,"Palm kernel or babassu oil, crude",,120710,0.46,0.85,5098.0,1.0,194.0,5293.0
151329,"Palm kernel/babassu oil their fract,refind but not chemically modifid",,151321,0.98,1.00,5202.0,1.0,198.0,5401.0
230660,"Palm nut/kernel oil-cake&oth solid residues,whether/not ground/pellet",,120710,0.52,0.15,802.0,0.0,31.0,833.0
070990aa,Olives,Olives,070990aa,1.00,1.00,2470.0,499.0,45.0,3014.0
071120,"Olives,provisionally preservd but nt suitable f immediate consumption",,07990aa,1.00,1.00,2470.0,499.0,45.0,3014.0
150910,"Olive oil, virgin",,071120,0.20,0.96,11826.0,2388.0,217.0,14431.0
150990,Olive oil and its fractions refined but not chemically modified,,150910,0.98,1.00,12067.0,2437.0,221.0,14725.0
151000,"Oils&thr fract nes obt from olives,ref'd/not,not chem mod,incl blends",,071120,0.02,0.04,5260.0,1062.0,96.0,6418.0
120730,"Castor oil seeds, whether or not broken",Castor oil seed,120730,1.00,1.00,8423.0,1175.0,298.0,9896.0
151530,"Castor oil&its fractions,whether/not refind,but not chemically modifid",,120730,0.40,1.00,21058.0,2938.0,744.0,24740.0
120600,"Sunflower seeds, whether or not broken",Sunflower seed,120600,1.00,1.00,3017.0,148.0,201.0,3366.0
151211,"Sunflower-seed or safflower oil, crude",,120600,0.41,0.81,5967.0,293.0,397.0,6657.0
151219,Sunflower-sed/safflower oil&their fractions refind but nt chem modifid,,151211,0.98,1.00,6088.0,299.0,405.0,6792.0
230630,"Sunflower sed oil-cake&oth solid residues,whether/not ground/pellet",,120600,0.47,0.19,1215.0,60.0,81.0,1356.0
120500,"Rape or colza seeds, whether or not broken",Rapeseed,120500,1.00,1.00,1703.0,231.0,336.0,2270.0
151410,"Rape, colza or mustard oil crude",,120500,0.38,0.71,3162.0,429.0,624.0,4215.0
151490,"Rape,colza o mustard oil&their fract,refind but not chemically modifid",,151410,0.98,1.00,3226.0,438.0,636.0,4300.0
230640,"Rape/colza sed oil-cake&oth solid residues,whether/not ground/pellet",,120500,0.60,0.29,837.0,114.0,165.0,1116.0
120760,"Safflower seeds, whether or not broken",Safflower seed,120760,1.00,1.00,6000.0,938.0,283.0,7221.0
120740,"Sesamum seeds, whether or not broken",Sesame seed,120740,1.00,1.00,8460.0,509.0,403.0,9372.0
151550,"Sesame oil&its fractions whether/not refind,but not chemically modifid",,120740,0.43,1.00,19674.0,1183.0,936.0,21793.0
120750,"Mustard seeds, whether or not broken",Mustard seed,120750,1.00,1.00,2463.0,1.0,345.0,2809.0
120791,"Poppy seeds, whether or not broken",Poppy seed,120791,1.00,1.00,1723.0,250.0,464.0,2437.0
12079ab,Melonseed,Melonseed,12079ab,1.00,1.00,5087.0,56.0,41.0,5184.0
120720a,Seed cotton,Seed cotton,120720a,1.00,1.00,2282.0,1306.0,440.0,4028.0
120720,"Cotton seeds, whether or not broken",,120720a,0.63,0.21,755.0,432.0,146.0,1333.0
120720b,Cotton lint,,120720a,0.35,0.79,5163.0,2955.0,996.0,9114.0
140420,Cotton linters,,120720,0.10,0.20,1474.0,844.0,284.0,2602.0
151221,"Cotton-seed oil crude, whether or not gossypol has been removed",,120720,0.16,0.48,2242.0,1283.0,432.0,3957.0
151229,Cotton-seed and its fractions refined but not chemically modified,,151221,1.00,1.00,2242.0,1283.0,432.0,3957.0
230610,"Cotton sed oil-cake&oth solid residues,whether or not ground or pellet",,120720,0.51,0.33,487.0,279.0,94.0,860.0
520100,"Cotton, not carded or combed",,120720b,1.00,1.00,5163.0,2955.0,996.0,9114.0
520210,Cotton yarn waste (including thread waste),,520100,0.05,0.01,950.0,544.0,183.0,1677.0
520291,Garnetted stock of cotton,,520100,0.05,0.01,1426.0,816.0,275.0,2517.0
520299,"Cotton waste, nes",,520291,0.85,1.00,1677.0,960.0,323.0,2960.0
520300,"Cotton, carded or combed",,520100,0.95,0.99,5359.0,3067.0,1034.0,9460.0
520511,Cotton fabric and finished textiles,,520100,0.95,0.99,5384.0,3253.0,1344.0,9981.0
120400,"Linseed, whether or not broken",Linseed,120400,1.00,1.00,4730.0,268.0,170.0,5168.0
151511,"Linseed oil, crude",,120400,0.35,0.62,8445.0,478.0,303.0,9226.0
151519,"Linseed oil and its fractions, refined but not chemically modified",,151511,0.98,1.00,8618.0,488.0,310.0,9416.0
