Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Province/ state >>>,Global average
,,,,,,Grey,194
151329,"Palm kernel/babassu oil their fract,refind but not chemically modifid",,151321,0.98,1.00,Green,5202
,,,,,,Blue,1
,,,,,,Grey,198
230660,"Palm nut/kernel oil-cake&oth solid residues,whether/not ground/pellet",,120710,0.52,0.15,Green,802
,,,,,,Blue,0
,,,,,,Grey,31
070990aa,Olives,Olives,070990aa,1.00,1.00,Green,2470
,,,,,,Blue,499
,,,,,,Grey,45
071120,"Olives,provisionally preservd but nt suitable f immediate consumption",,07990aa,1.00,1.00,Green,2470
,,,,,,Blue,499
,,,,,,Grey,45
150910,"Olive oil, virgin",,071120,0.20,0.96,Green,11826
,,,,,,Blue,2388
,,,,,,Grey,217
150990,Olive oil and its fractions refined but not chemically modified,,150910,0.98,1.00,Green,12067
,,,,,,Blue,2437
,,,,,,Grey,221
151000,"Oils&thr fract nes obt from olives,ref'd/not,not chem mod,incl blends",,071120,0.02,0.04,Green,5260
,,,,,,Blue,1062
,,,,,,Grey,96
120730,"Castor oil seeds, whether or not broken",Castor oil seed,120730,1.00,1.00,Green,8423
,,,,,,Blue,1175
,,,,,,Grey,298
151530,"Castor oil&its fractions,whether/not refind,but not chemically modifid",,120730,0.40,1.00,Green,21058
,,,,,,Blue,2938
,,,,,,Grey,744
120600,"Sunflower seeds, whether or not broken",Sunflower seed,120600,1.00,1.00,Green,3017
,,,,,,Blue,148
,,,,,,Grey,201
151211,"Sunflower-seed or safflower oil, crude",,120600,0.41,0.81,Green,5967
,,,,,,Blue,293
,,,,,,Grey,397
151219,Sunflower-sed/safflower oil&their fractions refind but nt chem modifid,,151211,0.98,1.00,Green,6088
,,,,,,Blue,299
,,,,,,Grey,405
230630,"Sunflower sed oil-cake&oth solid residues,whether/not ground/pellet",,120600,0.47,0.19,Green,1215
,,,,,,Blue,60
,,,,,,Grey,81
120500,"Rape or colza seeds, whether or not broken",Rapeseed,120500,1.00,1.00,Green,1703
,,,,,,Blue,231
